title,link,country,posting_date,deadline
Provision of Veterinary Services,https://www.globaltenders.com/tender-detail/provision-of-veterinary-services-phphjnMWDV0dxPZ,Australia,06 Dec 2025,22 Jan 2026
Provision Of Hospital Support Services,https://www.globaltenders.com/tender-detail/provision-of-hospital-support-services-jMYn0SjvXVGHUDg,Australia,06 Dec 2025,27 Feb 2026
Psychological Security Services (Pss) Standing Offer Panel,https://www.globaltenders.com/tender-detail/psychological-security-services-pss-standi-UTPyTPbXPbJFIeq,Australia,06 Dec 2025,30 Jan 2026
"National Immunisation Program – Technical, Research And Essential Program Services",https://www.globaltenders.com/tender-detail/national-immunisation-program-technical-fGZDttXrKQJ3cJdd,Australia,05 Dec 2025,10 Dec 2025
Stcw Seafarer Certificate Of Medical Fitness,https://www.globaltenders.com/tender-detail/stcw-seafarer-certificate-of-medical-fitness-tDGWArxuZrgahMt3,Australia,04 Dec 2025,20 Jan 2026
"Immunisation Services For The Australian Centre For Disease Control And The Department Of Health, Disability And Ageing",https://www.globaltenders.com/tender-detail/immunisation-services-for-the-australian-cen-C6C4YLHa6rePb1Qv,Australia,03 Dec 2025,10 Dec 2025
"Immunisation Services For The Australian Centre For Disease Control And The Department Of Health, Disability And Ageing",https://www.globaltenders.com/tender-detail/immunisation-services-for-the-australian-cen-WhMuhJY9XeZpe23,Australia,01 Dec 2025,10 Dec 2025
Private Hospital Services,https://www.globaltenders.com/tender-detail/private-hospital-services-nKowb7P1p3k65BoI,Australia,01 Dec 2025,30 Jun 2028
Invitation To Provide Day Procedure Centre Services To The Veteran Community,https://www.globaltenders.com/tender-detail/invitation-to-provide-day-procedure-centre-s-3iEWDMIHFlspvBm,Australia,01 Dec 2025,30 Jun 2028
"National Immunisation Program – Technical, Research And Essential Program Services",https://www.globaltenders.com/tender-detail/national-immunisation-program-technical-5O6zarAUkZe0x8S4,Australia,01 Dec 2025,10 Dec 2025
Provision Of Transition Care Program And Gem@Residential Care Services For Northern Health,https://www.globaltenders.com/tender-detail/provision-of-transition-care-program-and-gem-123300239,Australia,28 Nov 2025,22 Dec 2025
Independent Expert Assessments Of Family Violence Claims,https://www.globaltenders.com/tender-detail/independent-expert-assessments-of-family-vio-123300157,Australia,28 Nov 2025,12 Dec 2025
Employee Assistance Services,https://www.globaltenders.com/tender-detail/employee-assistance-services-zR2TaztHtZHpvAs,Australia,27 Nov 2025,12 Dec 2025
Psychological Security Services (Pss) Standing Offer Panel,https://www.globaltenders.com/tender-detail/psychological-security-services-pss-standi-a4W89p8xnuwi6jjb,Australia,27 Nov 2025,30 Jan 2026
Emergency Services Sector First Aid Training Services,https://www.globaltenders.com/tender-detail/emergency-services-sector-first-aid-training-elcBcuQMKXUGYqi,Australia,27 Nov 2025,09 Jan 2026
Stcw Seafarer Certificate Of Medical Fitness,https://www.globaltenders.com/tender-detail/stcw-seafarer-certificate-of-medical-fitness-123019067,Australia,25 Nov 2025,20 Jan 2026
Psychological Security Services (Pss) Standing Offer Panel,https://www.globaltenders.com/tender-detail/psychological-security-services-pss-standi-122760773,Australia,21 Nov 2025,30 Jan 2026
"National Immunisation Program – Technical, Research And Essential Program Services",https://www.globaltenders.com/tender-detail/national-immunisation-program-technical-122665384,Australia,20 Nov 2025,10 Dec 2025
Multidisciplinary teams into general practice – Perth South,https://www.globaltenders.com/tender-detail/multidisciplinary-teams-into-general-practic-122507448,Australia,18 Nov 2025,12 Dec 2025
Multidisciplinary teams into general practice – Perth North,https://www.globaltenders.com/tender-detail/multidisciplinary-teams-into-general-practic-122507443,Australia,18 Nov 2025,23 Dec 2025
